Symbol,Date,High,Low,Open,Close,Volume
UNI,2021-05-08,41.23284607,39.19058225,39.76074358,40.40708818,743543345.25
UNI,2021-05-09,40.69757263,38.23710378,40.4744505,39.43003307,663372003.89
UNI,2021-05-10,41.13354098,33.60327066,39.42240594,36.38795258,952681487.47
UNI,2021-05-11,38.50988458,35.49631345,36.35159457,38.4899796,705090607.75
UNI,2021-05-12,43.99577042,36.03806779,38.51666473,36.03806779,1851746863.31
UNI,2021-05-13,40.2726731,34.47757652,36.96122735,37.36915995,1409570978.25
UNI,2021-05-14,40.82982521,37.16485165,37.33851455,40.32621293,804342781.61
UNI,2021-05-15,42.366779,36.57718291,40.4003646,36.57718291,1049908753.23
UNI,2021-05-16,39.37513488,34.54366226,36.55338936,36.56150503,822738819.26
UNI,2021-05-17,36.56296493,32.01305893,36.56296493,33.28563801,974771404.15
UNI,2021-05-18,36.57753013,33.03280898,33.24620951,35.07203032,842688704.16
UNI,2021-05-19,35.48547139,16.66670173,35.07121417,23.42795801,2241014905.32
UNI,2021-05-20,28.44624604,20.10540471,23.16284247,26.39457361,1338078606.96
UNI,2021-05-21,27.95084661,18.89556736,26.35551006,21.90126016,1076267673.82
UNI,2021-05-22,22.36153424,18.51425438,21.96459158,20.38345517,791748160.43
UNI,2021-05-23,21.30185318,13.09218542,20.38058675,16.83633451,1320921898.99
UNI,2021-05-24,25.12926214,16.5741662,16.73633431,24.62764998,1526035441.99
UNI,2021-05-25,26.65927413,21.62414917,24.65716391,25.1950171,1386905998.83
UNI,2021-05-26,29.36829573,24.61406103,25.16354013,29.36829573,1071924819.96
UNI,2021-05-27,29.90450295,26.21504131,29.45165797,28.37033434,999766482.32
UNI,2021-05-28,29.40248359,24.97636657,28.47448015,25.92494516,1076488583.88
UNI,2021-05-29,27.53237109,21.85444451,25.89754696,23.17946491,817413607.24
UNI,2021-05-30,26.55674708,21.78026391,23.17567755,25.74251926,782067311.97
UNI,2021-05-31,28.40470661,23.46397001,25.71764333,28.36971009,1058080596.98
UNI,2021-06-01,28.72455063,26.01188618,28.27464797,27.3952343,753430864.13
UNI,2021-06-02,28.79910161,26.37642189,27.41344505,27.63148036,558113727.22
UNI,2021-06-03,29.35779181,26.95254514,27.64218789,28.63080951,541834896.19
UNI,2021-06-04,28.67793388,25.14802557,28.67793388,26.44299507,603761573.06
UNI,2021-06-05,27.68156886,25.23197399,26.46143462,25.60755124,448910760.54
UNI,2021-06-06,26.43600624,25.4151257,25.64622582,25.91248083,333386144.48
UNI,2021-06-07,27.34189207,24.01136684,25.90322503,24.19516632,479599703.89
UNI,2021-06-08,24.61929926,20.73909851,24.27717563,23.5302181,583658978.51
UNI,2021-06-09,25.2274175,22.26832903,23.43911352,25.12730308,697734987.65
UNI,2021-06-10,25.24600735,23.19041536,25.11921924,23.5971588,399429440.51
UNI,2021-06-11,23.86350103,21.4559588,23.60892195,21.85097044,390923862.05
UNI,2021-06-12,21.90921711,20.31240341,21.87485114,21.32251526,379030853.99
UNI,2021-06-13,23.60087708,20.51679109,21.30859138,23.27432047,408171936.66
UNI,2021-06-14,24.22007227,22.60933375,23.26169695,23.40723795,418305188.67
UNI,2021-06-15,24.68617772,23.19610751,24.10638443,24.18085206,405740380.2
UNI,2021-06-16,23.56577196,21.70048067,23.45809424,21.832226,344163560.64
UNI,2021-06-17,22.9196664,21.49807985,21.85268748,22.15489122,247003560.48
UNI,2021-06-18,22.26138263,19.64600727,22.18653369,20.39336123,330277776.38
UNI,2021-06-19,20.97942411,19.86441477,20.42141522,19.91080622,268928418.94
UNI,2021-06-20,21.05272602,18.68423401,19.8438913,20.80651277,368331090.48
UNI,2021-06-21,20.87956259,15.78539519,20.74150614,15.85063849,566312286.43
UNI,2021-06-22,17.10345583,13.99998347,15.80281181,16.3802756,706248217.2
UNI,2021-06-23,18.48822442,15.83635786,16.40379351,17.8716959,511611141.89
UNI,2021-06-24,18.55271447,16.65882388,17.8145182,18.0547136,366440877.44
UNI,2021-06-25,18.33786033,15.73205304,18.06206469,15.90518993,370292097.71
UNI,2021-06-26,16.4516957,15.1365024,15.86692643,16.10042424,284658409.4
UNI,2021-06-27,17.09566736,15.66884023,16.15028205,17.09566736,255240542.43
UNI,2021-06-28,18.13493077,16.88133786,17.09621155,17.6838602,306684345.91
UNI,2021-06-29,19.18585324,17.68159997,17.7352494,18.55432976,383182156.87
UNI,2021-06-30,19.28543292,17.19900074,18.64437326,19.27835826,397542621.05
UNI,2021-07-01,19.27789801,17.58957919,19.27789801,17.87039878,364624991.39
UNI,2021-07-02,18.24357111,16.98381751,17.83307192,18.24172609,307045716.47
UNI,2021-07-03,19.52475708,17.84998651,18.22733883,19.52475708,344855378.82
UNI,2021-07-04,21.48141121,18.94737104,19.47993593,20.77187449,540490915.07
UNI,2021-07-05,20.86778456,19.18090837,20.76741877,20.09518102,545274387.3
UNI,2021-07-06,23.18855836,20.07554379,20.08839022,22.40018588,815123868.59
